,Restaurant,Review,Label,Stars,Date,Review_clean
0,Happy Tummy,"Fresh ingredients, friendly peeps and so much cheaper than Salad Stop!A Single, gets you a base of romaine and 5 toppings for $6.80.",1,5,2016-04-06T00:00:00,fresh ingredients friendly peeps and so much cheaper than salad stop a single gets you a base of romaine and toppings for
1,Yan kee Noodle House,The plus point is that the price remains the same at $4 per bowl.,1,4,2018-12-28T00:00:00,the plus point is that the price remains the same at per bowl
2,Clinton Street Baking Company & Restaurant,Same for more?I ordered what I thought was their signature omelette because it had their name on it.,1,2,2018-03-03T00:00:00,same for more i ordered what i thought was their signature omelette because it had their name on it
3,Brawn & Brains Coffee,I don't get why it can't just be full service...?The menu was decent but prices are pretty expensive.,1,3,2019-12-17T00:00:00,i don t get why it can t just be full service the menu was decent but prices are pretty expensive
4,No. 18 Zion Road Char Kway Teow,I stood in line patiently and got a large plate of noodles.,1,3,2016-11-21T00:00:00,i stood in line patiently and got a large plate of noodles
5,Lawry's The Prime Rib Singapore,Price is on the high side.,1,4,2013-08-13T00:00:00,price is on the high side
6,Old Airport Road Food Centre,And yay for mantous.. 50cents each.,1,4,2013-03-05T00:00:00,and yay for mantous each
7,Dolce Vita,Good things never come cheap and I have to agree that it's for a valid reason.,1,4,2012-08-23T00:00:00,good things never come cheap and i have to agree that it s for a valid reason
8,DB Bistro Moderne,The portion was small so we ordered the db burger.,1,4,2013-03-23T00:00:00,the portion was small so we ordered the db burger
9,Margarita's Dempsey Hill,"The restaurant is expensive, even by Singaporean standardsI would probably go back, but I certainly will wait until I have a strong hankering for Mexican food before I do so.",1,3,2013-10-20T00:00:00,the restaurant is expensive even by singaporean standardsi would probably go back but i certainly will wait until i have a strong hankering for mexican food before i do so
10,Bosses Restaurant,"Normally, you wouldn't think they charge for it in the US.",1,1,2017-03-14T00:00:00,normally you wouldn t think they charge for it in the us
11,Murugan Idli Shop,Thats a deal!,1,5,2014-09-05T00:00:00,thats a deal
12,Warong Nasi Pariaman,As cheap and authentic as you can get!,1,4,2013-08-22T00:00:00,as cheap and authentic as you can get
13,The Beast,"Price - a little bit pricey, $170 for 2pax.Overall, it's still worth a try.",1,4,2016-05-31T00:00:00,price a little bit pricey for overall it s still worth a try
14,Waku Ghin,"We were a party of 6, had the omakase ofc, some v expensive sake, and 6xS$20 of still water?!",1,3,2014-09-28T00:00:00,we were a party of had the omakase ofc some v expensive sake and of still water
15,Liao Fan Hawker Chan,"Not only is Singapore a dope vacation destination, but it has cheap, delicious food.",1,3,2019-12-12T00:00:00,not only is singapore a dope vacation destination but it has cheap delicious food
16,YAYOI,cheap and quite okay japanese at the 100am mall in tanjong pagar.,1,3,2013-09-10T00:00:00,cheap and quite okay japanese at the mall in tanjong pagar
17,Latteria Mozzarella Bar,Four of us came for the $24-ish set lunch--fantastic value as you get 3 courses for your money.,1,4,2012-09-06T00:00:00,four of us came for the ish set lunch fantastic value as you get courses for your money
18,Tono Cevicheria,Most items are priced between $25-$30SGD each and designed to share and explore (although potions not gigantic or anything).,1,5,2018-06-29T00:00:00,most items are priced between each and designed to share and explore although potions not gigantic or anything
19,Satay By The Bay,"Satay, chili crab, stingray, Indian food, and even some eastern Mediterranean food, there is a good variety here, however it is a little overpriced.",1,4,2018-05-28T00:00:00,satay chili crab stingray indian food and even some eastern mediterranean food there is a good variety here however it is a little overpriced
20,PS.Cafe,The slice is huge though and comes with an ice-cream so would recommend sharing.,1,4,2018-11-03T00:00:00,the slice is huge though and comes with an ice cream so would recommend sharing
21,Toast Box,"I also really wanted to try the Kaya toast there, and for $1.40 - why not?",1,4,2012-10-26T00:00:00,i also really wanted to try the kaya toast there and for why not
22,Food Republic,"Clean (but what isn't in this island nation), central to many places, lots of broths, food under 10 bucks, and it's a food court?",1,4,2013-09-22T00:00:00,clean but what isn t in this island nation central to many places lots of broths food under bucks and it s a food court
23,Real Food,So expensive too!!!,1,1,2016-01-20T00:00:00,so expensive too
24,Druggists,"It's OK, but not really worth the trek out unless you're already in the area.",1,3,2017-07-24T00:00:00,it s ok but not really worth the trek out unless you re already in the area
