Restaurant,Review,Label,Stars,Date
Happy Tummy,"Fresh ingredients, friendly peeps and so much cheaper than Salad Stop!A Single, gets you a base of romaine and 5 toppings for $6.80.",1,5,2016-04-06T00:00:00
Cibo Italiano,"A small selection of Italian wines by the glass and beers, as well as a good wine list.",1,4,2015-12-24T00:00:00
Yan kee Noodle House,The plus point is that the price remains the same at $4 per bowl.,1,4,2018-12-28T00:00:00
Clinton Street Baking Company & Restaurant,Same for more?I ordered what I thought was their signature omelette because it had their name on it.,1,2,2018-03-03T00:00:00
Song Fa Bak Kut Teh,I will probably get that again.Have been very tempted to pick up some of the soup base that they sell... Not sure how much it will resemble the in store version if I'm the one cooking it...,1,5,2019-01-05T00:00:00
Brawn & Brains Coffee,I don't get why it can't just be full service...?The menu was decent but prices are pretty expensive.,1,3,2019-12-17T00:00:00
No. 18 Zion Road Char Kway Teow,I stood in line patiently and got a large plate of noodles.,1,3,2016-11-21T00:00:00
Lawry's The Prime Rib Singapore,Price is on the high side.,1,4,2013-08-13T00:00:00
Old Airport Road Food Centre,And yay for mantous.. 50cents each.,1,4,2013-03-05T00:00:00
Dolce Vita,Good things never come cheap and I have to agree that it's for a valid reason.,1,4,2012-08-23T00:00:00
DB Bistro Moderne,The portion was small so we ordered the db burger.,1,4,2013-03-23T00:00:00
Margarita's Dempsey Hill,"If I were judging this restaurant on curve and gave it bonus points for being halfway around the world from Mexico, it would probably get 4 stars.Pros:-The menu is small, but a pretty good approximation of Mexican restaurants in North America-The chips were good; the salsa was excellent-The margaritas were excellent as wellCons:-The carnitas tasted pretty bland-The restaurant is expensive, even by Singaporean standardsI would probably go back, but I certainly will wait until I have a strong hankering for Mexican food before I do so.",1,3,2013-10-20T00:00:00
Bosses Restaurant,"Normally, you wouldn't think they charge for it in the US.",1,1,2017-03-14T00:00:00
MTR 1924,"And each of them were pretty good particularly the accompaniment to rava dosa which was similar to avial, the good old sambar was pretty good as well.The vada was excellent, the rawa idli & filter coffee were good.Overall a very good addition to Singapore's Indian Food scene",1,5,2014-06-01T00:00:00
Boon Tong Kee,Crab meat fish maw soup: awesome!,1,4,2014-11-27T00:00:00
Pasha,The Lamb Tajine is highly recommended.,1,4,2012-09-02T00:00:00
Murugan Idli Shop,Thats a deal!,1,5,2014-09-05T00:00:00
Pollen,"Finally, the lonely cheese board looked quite miserable with few options, none AOC/fermier, all quite boring, in other words some branches of Cold Storage have more choice and perhaps better quality.",1,4,2018-03-11T00:00:00
Lee Fun Nam Kee Chicken Rice & Restaurant,"The best chicken rice, char siew (BBQ pork), crispy roast pork I've ever had in my life.",1,5,2019-02-21T00:00:00
Warong Nasi Pariaman,As cheap and authentic as you can get!,1,4,2013-08-22T00:00:00
StraitsKitchen,One might argue that it's better to head to some hawker centre but hey wait till you get here.,1,4,2012-08-18T00:00:00
The Beast,"Price - a little bit pricey, $170 for 2pax.Overall, it's still worth a try.",1,4,2016-05-31T00:00:00
Liao Fan Hawker Chan,"Therefore a chicken can serve 4 plates of chicken rice/noodle but for them, for a chicken they serve 8 plates of chicken rice/noodle.",1,3,2017-01-03T00:00:00
Waku Ghin,"We were a party of 6, had the omakase ofc, some v expensive sake, and 6xS$20 of still water?!",1,3,2014-09-28T00:00:00
Liao Fan Hawker Chan,"Not only is Singapore a dope vacation destination, but it has cheap, delicious food.",1,3,2019-12-12T00:00:00
YAYOI,cheap and quite okay japanese at the 100am mall in tanjong pagar.,1,3,2013-09-10T00:00:00
Latteria Mozzarella Bar,Four of us came for the $24-ish set lunch--fantastic value as you get 3 courses for your money.,1,4,2012-09-06T00:00:00
Tono Cevicheria,Most items are priced between $25-$30SGD each and designed to share and explore (although potions not gigantic or anything).,1,5,2018-06-29T00:00:00
Satay By The Bay,"Satay, chili crab, stingray, Indian food, and even some eastern Mediterranean food, there is a good variety here, however it is a little overpriced.",1,4,2018-05-28T00:00:00
PS.Cafe,The slice is huge though and comes with an ice-cream so would recommend sharing.,1,4,2018-11-03T00:00:00
Toast Box,"I also really wanted to try the Kaya toast there, and for $1.40 - why not?",1,4,2012-10-26T00:00:00
Food Republic,"Clean (but what isn't in this island nation), central to many places, lots of broths, food under 10 bucks, and it's a food court?",1,4,2013-09-22T00:00:00
Real Food,So expensive too!!!,1,1,2016-01-20T00:00:00
Druggists,"It's OK, but not really worth the trek out unless you're already in the area.",1,3,2017-07-24T00:00:00
Chapter 55,"One thing that I found very attractive on their signboard was how they highlighted their ""1 for 1 on weekdays"" offer.We went as a group of 5.",1,3,2015-02-04T00:00:00
Berseh Food Centre,Ice kacang at the hot and cold dessert stand for $1.50!,1,5,2018-04-24T00:00:00
Saveur,"After reading a few reviews, what jumped out at me was when I read one reviewer say that you will not get an amazing prix fixe of $38 per person anywhere else in Singapore.",1,4,2019-07-10T00:00:00
CafÃƒÂ© Iguana,"Other selections include a gluten-free Ancho Chile Chocolate Cake ($14) and Churros ($12) but the former two banana desserts are more satisfying for the bucks and calories.Spice-wise, the dishes are tuned to a temperate palette, yet there were moments during the feast when I thought I was eating Indian briyani.",1,3,2015-06-17T00:00:00
CUT,But worth it!!,1,5,2012-12-08T00:00:00
The Coconut Club,"The side dishes are ok, not that special or fantastic to warrant the prices.",1,5,2017-08-20T00:00:00
10 at Claymore,They had a small but good selection of desserts.,1,4,2017-03-25T00:00:00
Pollen,The plates appear of a conservative size but were filling.,1,4,2017-01-22T00:00:00
Isle Eating House,Anything you could possibly want.,1,4,2014-12-28T00:00:00
Lolla,"The dish is rather small, i wouldn't recommend sharing if you're not ordering many dishes.Dinner concluded on a high (from the sweetness) with the Steamed Dark Chocolate Pudding ($15).",1,5,2014-02-11T00:00:00
Garibaldi Italian Restaurant & Bar,"We enjoyed the dishes we had, extremely authentic, but small portions.",1,3,2012-10-09T00:00:00
Gokul Vegetarian Restaurant and Cafe,Their menu options is huge and you wouldn't even feel like you are eating vegetarian food there.,1,4,2014-07-21T00:00:00
Wah Lok Cantonese Restaurant,"This place is nice, but way overpriced.",1,2,2018-12-27T00:00:00
Latteria Mozzarella Bar,)Enjoy their 3 course weekday set lunch at only $28++.,1,4,2012-12-04T00:00:00
Souper Tang,They have more than 10 soups to chose from... (I think it was 13?,1,4,2016-06-24T00:00:00
Gokul Vegetarian Restaurant and Cafe,"They have an ENORMOUS menu, but sadly not a lot of it is vegan -- but there are definitely still plenty of choices for vegans.I ordered the vegan mutton rice because I've never had mock mutton before and I was intrigued.",1,4,2016-06-04T00:00:00
