,Restaurant,Review,Date,Label
0,Happy Tummy,fresh ingredient friendly peep and so much cheaper than salad stop a single get you a base of romaine and 5 topping for dollar 6 80,2016-04-06T00:00:00,1
1,Cibo Italiano,a small selection of italian wine by the glass and beer a well a a good wine list,2015-12-24T00:00:00,1
2,Cibo Italiano,cultural relevant singaporean cuisine in very sweet old conservation bldg,2018-08-19T00:00:00,4
3,Cibo Italiano,generous with the clam,2016-11-28T00:00:00,1
4,Yan kee Noodle House,the plus point is that the price remains the same at dollar 4 per bowl,2018-12-28T00:00:00,1
5,Clinton Street Baking Company & Restaurant,same for more i ordered what i thought wa their signature omelette because it had their name on it,2018-03-03T00:00:00,1
6,Clinton Street Baking Company & Restaurant,each component from the just cooked spinach to the creamy hollandaise sauce to the rich crab cake wa just plain delicious,2015-10-15T00:00:00,2
7,Clinton Street Baking Company & Restaurant,the jalapeo cornbread wa quite large and yummy,2016-05-17T00:00:00,2
8,Clinton Street Baking Company & Restaurant,place is a staple,2020-01-01T00:00:00,5
9,Clinton Street Baking Company & Restaurant,would go back once in a while,2015-10-16T00:00:00,5
10,Clinton Street Baking Company & Restaurant,coffee is good tho,2016-06-28T00:00:00,2
11,Clinton Street Baking Company & Restaurant,blueberry banana walnut or chocolate chunk they re all good,2016-01-05T00:00:00,2
12,Clinton Street Baking Company & Restaurant,it looked awful and for dollar 18 i wa not happy,2016-11-29T00:00:00,1
13,Clinton Street Baking Company & Restaurant,all were excellent and the portion are massive you certainly won t go hungry,2015-11-21T00:00:00,1
14,Clinton Street Baking Company & Restaurant,the syrup is rich and flavorful the nut are candy and the banana are lightly dusted with sugar,2018-12-16T00:00:00,2
15,Clinton Street Baking Company & Restaurant,service wa prompt but i guess a true test of the waitstaff is peak hour which i obviously did not get to see would return for the pancake,2015-10-22T00:00:00,3
16,Clinton Street Baking Company & Restaurant,after we were seated not one staff member came to our table without being asked,2015-11-13T00:00:00,3
17,Song Fa Bak Kut Teh,i will probably get that again have been very tempted to pick up some of the soup base that they sell not sure how much it will resemble the in store version if i m the one cooking it,2019-01-05T00:00:00,5
18,Song Fa Bak Kut Teh,we ordered some vegetable for the table bowl of rice and some other side dish but honestly the pork rib soup the star of the entire place,2018-03-30T00:00:00,2
